Sigla;Código;Município;Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (2000);Anos de estudo - média - pessoas 25 anos e mais (2000)
GO;5217401;Pires do Rio;2;;3.2;;4.6;4.57;;5.687
GO;5217609;Planaltina;0.8;;1.4;;3.4;3.398;;4.332
GO;5217708;Pontalina;1.2;;2.5;;3.7;3.745;;4.61
GO;5218003;Porangatu;1.3;;2.7;;4.1;4.275;;4.912
GO;5218052;Porteirão;;;;;;2.51;;3.878
GO;5218102;Portelândia;0.6;;2.1;;3.3;3.389;;4.094
GO;5218300;Posse;0.5;;1.3;;2.7;2.696;;3.899
GO;5218391;Professor Jamil;;;;;;3.196;;4.543
GO;5218508;Quirinópolis;1.3;;2.4;;4;3.959;;4.83
GO;5218607;Rialma;2.1;;3.4;;4.4;4.415;;5.466
GO;5218706;Rianápolis;1.2;;1.8;;3.5;3.603;;4.452
GO;5218789;Rio Quente;;;;;3.7;4.034;;6.139
GO;5218805;Rio Verde;1.7;;2.8;;4.4;4.547;;5.719
GO;5218904;Rubiataba;1.3;;2.2;;3.8;3.84;;4.855
GO;5219001;Sanclerlândia;1.2;;1.9;;3.5;3.529;;4.796
GO;5219100;Santa Bárbara de Goiás;1.2;;2;;3.4;3.389;;4.319
GO;5219209;Santa Cruz de Goiás;1.9;;2.6;;3.4;3.513;;4.515
GO;5219258;Santa Fé de Goiás;;;;;2.5;2.623;;3.84
GO;5219308;Santa Helena de Goiás;1.7;;2.6;;4;3.96;;4.753
GO;5219357;Santa Isabel;;;;;3.6;3.507;;4.383
GO;5219407;Santa Rita do Araguaia;1;;2.3;;3.8;3.799;;4.727
GO;5219456;Santa Rita do Novo Destino;;;;;;2.063;;3.115
GO;5219506;Santa Rosa de Goiás;1.1;;2.1;;3.3;3.417;;4.022
GO;5219605;Santa Tereza de Goiás;1.3;;2.1;;3.3;3.296;;4.354
GO;5219704;Santa Terezinha de Goiás;0.8;;1.6;;3.8;3.792;;4.23
GO;5219712;Santo Antônio da Barra;;;;;;2.533;;3.538
GO;5219738;Santo Antônio de Goiás;;;;;;3.305;;5.123
GO;5219753;Santo Antônio do Descoberto;;;;;3.3;3.36;;4.434
GO;5219803;São Domingos;0.6;;1.3;;1.9;1.928;;2.685
GO;5219902;São Francisco de Goiás;1;;1.9;;3.3;3.357;;4.315
GO;5220009;São João d'Aliança;0.6;;1.1;;2.7;2.883;;3.886
GO;5220058;São João da Paraúna;;;;;3.5;3.491;;4.581
GO;5220108;São Luís de Montes Belos;1.4;;2.8;;4;3.986;;5.312
GO;5220157;São Luíz do Norte;;;;;2.5;2.632;;3.802
GO;5220207;São Miguel do Araguaia;1.4;;2.2;;3.5;3.518;;4.32
GO;5220264;São Miguel do Passa Quatro;;;;;3.2;3.292;;4.387
GO;5220280;São Patrício;;;;;;2.842;;4.298
GO;5220405;São Simão;1.3;;2.4;;3.5;3.608;;4.668
GO;5220454;Senador Canedo;;;;;3.5;3.496;;4.785
GO;5220504;Serranópolis;1.1;;1.8;;3.5;3.389;;4.297
GO;5220603;Silvânia;1.2;;2.1;;3.6;3.641;;4.729
GO;5220686;Simolândia;;;;;1.7;1.746;;3.136
GO;5220702;Sítio d'Abadia;0.6;;1;;1.7;1.751;;2.745
GO;5221007;Taquaral de Goiás;0.9;;1.9;;3.2;3.151;;4.197
GO;5221080;Teresina de Goiás;;;;;3.8;3.335;;3.466
GO;5221197;Terezópolis de Goiás;;;;;;2.649;;4.196
GO;5221304;Três Ranchos;1.5;;2.6;;3.6;3.824;;5.251
GO;5221403;Trindade;1.8;;2.9;;4.2;4.257;;5.204
GO;5221452;Trombas;;;;;2.7;2.788;;4.108
GO;5221502;Turvânia;1.5;;2.2;;3.5;3.532;;4.812
GO;5221551;Turvelândia;;;;;2.8;2.903;;3.457
GO;5221577;Uirapuru;;;;;;2.298;;3.619
GO;5221601;Uruaçu;1.3;;2.3;;4;4.006;;4.842
GO;5221700;Uruana;1.3;;2.7;;4;3.967;;5.067
GO;5221809;Urutaí;1.6;;2.9;;4.3;3.991;;5.156
GO;5221858;Valparaíso de Goiás;;;;;;6.195;;6.716
GO;5221908;Varjão;1;;1.9;;3.3;3.206;;4.123
GO;5222005;Vianópolis;1.6;;2.5;;3.7;3.72;;4.754
GO;5222054;Vicentinópolis;;;;;3.6;3.502;;4.307
GO;5222203;Vila Boa;;;;;;2.205;;3.299
GO;5222302;Vila Propício;;;;;;1.677;;2.837
MA;2100055;Açailândia;;;;;2.3;2.534;;3.778
MA;2100105;Afonso Cunha;0.2;;0.3;;1.1;1.029;;2.001
MA;2100154;Água Doce do Maranhão;;;;;;0.947;;1.827
MA;2100204;Alcântara;0.6;;0.9;;1.9;1.938;;2.918
MA;2100303;Aldeias Altas;0.3;;0.5;;1.1;1.073;;1.807
MA;2100402;Altamira do Maranhão;0.2;;0.6;;1.2;1.651;;2.59
MA;2100436;Alto Alegre do Maranhão;;;;;;0.924;;1.948
MA;2100477;Alto Alegre do Pindaré;;;;;;0.912;;1.909
MA;2100501;Alto Parnaíba;0.6;;1.5;;2.6;2.535;;3.415
MA;2100550;Amapá do Maranhão;;;;;;1.084;;2.057
MA;2100600;Amarante do Maranhão;0.5;;1.1;;1.7;1.7;;2.615
MA;2100709;Anajatuba;0.5;;0.8;;1.5;1.479;;2.452
MA;2100808;Anapurus;0.4;;1.2;;1.6;1.621;;2.849
MA;2100832;Apicum-Açu;;;;;;1.643;;2.553
MA;2100873;Araguanã;;;;;;1.23;;2.318
MA;2100907;Araioses;0.5;;0.8;;1.1;1.113;;1.773
MA;2100956;Arame;;;;;1.2;1.231;;1.975
MA;2101004;Arari;1.2;;1.3;;2.3;2.31;;3.489
MA;2101103;Axixá;1.3;;1.7;;2.8;2.76;;3.994
MA;2101202;Bacabal;0.9;;1.7;;2.8;3.069;;3.935
MA;2101251;Bacabeira;;;;;;2.276;;3.181
MA;2101301;Bacuri;0.8;;1.1;;1.7;1.7;;2.712
MA;2101350;Bacurituba;;;;;;1.375;;2.549
MA;2101400;Balsas;0.8;;1.7;;2.9;2.851;;4.501
MA;2101509;Barão de Grajaú;0.8;;1.4;;1.9;1.897;;3.284
MA;2101608;Barra do Corda;0.6;;1;;1.8;1.932;;2.871
MA;2101707;Barreirinhas;0.6;;1;;1.7;1.565;;2.264
MA;2101731;Belágua;;;;;;0.857;;1.821
MA;2101772;Bela Vista do Maranhão;;;;;;1.061;;2.015
MA;2101806;Benedito Leite;0.7;;1.1;;1.7;1.407;;2.56
MA;2101905;Bequimão;0.6;;1.2;;1.7;1.69;;3.182
MA;2101939;Bernardo do Mearim;;;;;;1.434;;2.545
MA;2101970;Boa Vista do Gurupi;;;;;;1.747;;2.751
MA;2102002;Bom Jardim;0.4;;0.7;;1;1.112;;1.809
MA;2102036;Bom Jesus das Selvas;;;;;;1.289;;2.2
MA;2102077;Bom Lugar;;;;;;1.084;;1.966
MA;2102101;Brejo;0.8;;1.2;;1.8;1.919;;2.961
MA;2102150;Brejo de Areia;;;;;;0.836;;1.654
MA;2102200;Buriti;0.5;;0.8;;1.4;1.392;;2.335
MA;2102309;Buriti Bravo;0.6;;0.9;;1.7;1.678;;2.543
MA;2102325;Buriticupu;;;;;;1.49;;2.408
MA;2102358;Buritirana;;;;;;1.138;;2.298
MA;2102374;Cachoeira Grande;;;;;;1.341;;2.138
MA;2102408;Cajapió;1.1;;1.5;;1.3;1.381;;2.849
MA;2102507;Cajari;1.1;;1.3;;1.8;1.914;;2.88
MA;2102556;Campestre do Maranhão;;;;;;1.574;;2.759
MA;2102606;Cândido Mendes;1;;1.1;;1.9;2.199;;3.079
MA;2102705;Cantanhede;0.5;;0.6;;1.2;1.648;;2.447
MA;2102754;Capinzal do Norte;;;;;;1.277;;2.396
MA;2102804;Carolina;1.4;;1.6;;2.7;2.674;;3.852
MA;2102903;Carutapera;0.9;;1.2;;1.5;2.154;;3.009
MA;2103000;Caxias;1.1;;1.4;;2.3;2.436;;3.674
MA;2103109;Cedral;1;;1.6;;2.3;2.566;;3.625
MA;2103125;Central do Maranhão;;;;;;1.265;;2.361
MA;2103158;Centro do Guilherme;;;;;;1.024;;1.652
MA;2103174;Centro Novo do Maranhão;;;;;;0.976;;1.842
MA;2103208;Chapadinha;0.5;;1.2;;2.3;2.284;;3.103
MA;2103257;Cidelândia;;;;;;1.571;;2.539
MA;2103307;Codó;0.7;;0.9;;1.7;1.774;;2.82
MA;2103406;Coelho Neto;0.4;;1;;2;2.009;;2.848
MA;2103505;Colinas;0.9;;1.2;;2;2.097;;2.907
MA;2103554;Conceição do Lago-Açu;;;;;;1.079;;1.816
MA;2103604;Coroatá;0.8;;1;;1.6;1.858;;2.507
MA;2103703;Cururupu;1.3;;1.6;;2.4;2.635;;3.646
MA;2103752;Davinópolis;;;;;;1.651;;2.734
MA;2103802;Dom Pedro;1;;1.7;;2.6;2.593;;3.685
MA;2103901;Duque Bacelar;0.5;;0.8;;1.6;1.576;;2.558
MA;2104008;Esperantinópolis;0.3;;0.8;;1.6;1.931;;2.567
MA;2104057;Estreito;;;;;2.7;2.834;;3.826
MA;2104073;Feira Nova do Maranhão;;;;;;1.209;;2.054
MA;2104081;Fernando Falcão;;;;;;1.244;;1.484
MA;2104099;Formosa da Serra Negra;;;;;;1.398;;2.387
MA;2104107;Fortaleza dos Nogueiras;0.3;;1.1;;2;2.287;;3.543
MA;2104206;Fortuna;0.7;;0.9;;1.8;1.78;;2.674
MA;2104305;Godofredo Viana;0.6;;1.3;;1.8;2.35;;3.009
MA;2104404;Gonçalves Dias;0.5;;0.8;;1.7;1.65;;2.152
MA;2104503;Governador Archer;0.5;;1;;1.6;1.642;;2.525
MA;2104552;Governador Edison Lobão;;;;;;1.663;;2.956
MA;2104602;Governador Eugênio Barros;0.4;;0.8;;1.1;1.236;;2.17
MA;2104628;Governador Luiz Rocha;;;;;;0.857;;2.058
MA;2104651;Governador Newton Bello;;;;;;0.897;;1.552
MA;2104677;Governador Nunes Freire;;;;;;1.799;;2.347
MA;2104701;Graça Aranha;0.6;;1.3;;2;1.939;;2.853
MA;2104800;Grajaú;0.7;;0.9;;1.9;2.309;;3.224
MA;2104909;Guimarães;1.3;;2.1;;3.1;3.083;;4.39
MA;2105005;Humberto de Campos;1;;1.4;;1.6;1.625;;2.686
MA;2105104;Icatu;0.9;;1.1;;1.2;1.181;;2.58
MA;2105153;Igarapé do Meio;;;;;;0.921;;1.992
MA;2105203;Igarapé Grande;0.2;;1;;1.9;2.224;;3.077
MA;2105302;Imperatriz;1;;1.9;;3.6;4.009;;5.417
MA;2105351;Itaipava do Grajaú;;;;;;0.604;;1.431
MA;2105401;Itapecuru Mirim;0.9;;1.2;;2;2.239;;3.354
MA;2105427;Itinga do Maranhão;;;;;;1.52;;3.429
MA;2105450;Jatobá;;;;;;1.139;;2.358
MA;2105476;Jenipapo dos Vieiras;;;;;;1.111;;1.704
MA;2105500;João Lisboa;0.4;;0.7;;1.4;1.803;;3.041
MA;2105609;Joselândia;0.3;;0.6;;1.4;1.392;;2.185
MA;2105658;Junco do Maranhão;;;;;;1.368;;2.347
MA;2105708;Lago da Pedra;0.4;;0.8;;1.3;1.481;;2.589
MA;2105807;Lago do Junco;0.5;;0.7;;1.2;1.235;;2.38
MA;2105906;Lago Verde;0.3;;0.5;;1.3;1.374;;1.965
MA;2105922;Lagoa do Mato;;;;;;1.13;;1.821
MA;2105948;Lago dos Rodrigues;;;;;;1.335;;2.462
MA;2105963;Lagoa Grande do Maranhão;;;;;;0.498;;1.642
MA;2105989;Lajeado Novo;;;;;;1.566;;2.546
MA;2106003;Lima Campos;0.5;;0.8;;2;1.995;;2.537
MA;2106102;Loreto;0.7;;1.1;;2.2;2.195;;3.072
MA;2106201;Luís Domingues;0.8;;1.2;;1.8;2.114;;3.621
MA;2106300;Magalhães de Almeida;0.8;;0.9;;1.9;1.884;;2.687
MA;2106326;Maracaçumé;;;;;;1.873;;2.708
MA;2106359;Marajá do Sena;;;;;;0.969;;1.413
MA;2106375;Maranhãozinho;;;;;;1.57;;1.914
MA;2106409;Mata Roma;0.6;;1.1;;1.9;1.891;;2.767
MA;2106508;Matinha;1.1;;1.4;;2.4;2.511;;3.613
MA;2106607;Matões;0.5;;0.6;;1.2;1.194;;1.934
MA;2106631;Matões do Norte;;;;;;0.771;;1.721
MA;2106672;Milagres do Maranhão;;;;;;0.909;;2.056
MA;2106706;Mirador;0.5;;0.9;;1.7;1.704;;2.506
MA;2106755;Miranda do Norte;;;;;2.1;2.069;;3.455
MA;2106805;Mirinzal;0.9;;1.1;;2.4;2.869;;4.031
MA;2106904;Monção;0.6;;1.2;;1.6;1.56;;2.703
MA;2107001;Montes Altos;0.6;;1;;1.7;1.99;;3.023
MA;2107100;Morros;0.8;;0.8;;1.6;1.692;;2.566
MA;2107209;Nina Rodrigues;0.6;;0.6;;1.7;1.59;;2.945
MA;2107258;Nova Colinas;;;;;;1.58;;2.737
MA;2107308;Nova Iorque;0.6;;1.4;;2.1;1.95;;2.86
MA;2107357;Nova Olinda do Maranhão;;;;;;1.557;;2.439
MA;2107407;Olho d'Água das Cunhãs;0.5;;0.8;;1.4;1.686;;2.578
MA;2107456;Olinda Nova do Maranhão;;;;;;1.56;;2.816
MA;2107506;Paço do Lumiar;1.1;;1.8;;5.8;6.272;;7.111
MA;2107605;Palmeirândia;0.5;;1;;1.5;1.5;;2.749
MA;2107704;Paraibano;0.4;;1.2;;2.1;2.058;;2.44
MA;2107803;Parnarama;0.3;;0.7;;1.2;1.186;;2.087
MA;2107902;Passagem Franca;0.4;;1.1;;1.4;1.58;;2.374
MA;2108009;Pastos Bons;0.8;;1.1;;2;2.062;;2.92
MA;2108058;Paulino Neves;;;;;;1.168;;1.775
MA;2108108;Paulo Ramos;0.2;;0.6;;1.3;1.554;;2.111
MA;2108207;Pedreiras;1.3;;1.9;;2.9;3.308;;4.127
MA;2108256;Pedro do Rosário;;;;;;1.219;;1.992
MA;2108306;Penalva;0.9;;1.4;;1.8;1.885;;2.694
MA;2108405;Peri Mirim;1;;1.6;;2.2;2.216;;3.406
MA;2108454;Peritoró;;;;;;1.356;;1.946
MA;2108504;Pindaré-Mirim;0.9;;1.4;;2.4;2.67;;3.645
MA;2108603;Pinheiro;1;;1.5;;2.5;2.946;;3.958
MA;2108702;Pio XII;0.4;;0.7;;1.4;1.297;;2.408
MA;2108801;Pirapemas;0.4;;0.9;;1.9;1.678;;2.874
MA;2108900;Poção de Pedras;0.2;;0.9;;1.6;1.6;;2.515
MA;2109007;Porto Franco;0.8;;0.8;;2;2.586;;4.044
MA;2109056;Porto Rico do Maranhão;;;;;;1.936;;3.152
MA;2109106;Presidente Dutra;0.7;;1.3;;2.3;2.613;;3.596
MA;2109205;Presidente Juscelino;0.6;;0.9;;1.6;1.411;;2.092
MA;2109239;Presidente Médici;;;;;;1.414;;2.568
MA;2109270;Presidente Sarney;;;;;;1.444;;2.016
MA;2109304;Presidente Vargas;0.3;;0.6;;1.5;1.453;;2.729
MA;2109403;Primeira Cruz;1;;1.5;;1.7;1.788;;2.812
MA;2109452;Raposa;;;;;;2.449;;3.772
MA;2109502;Riachão;0.6;;1;;1.7;1.86;;2.896
MA;2109551;Ribamar Fiquene;;;;;;1.142;;2.747
MA;2109601;Rosário;1.2;;1.7;;2.7;2.803;;4.152
MA;2109700;Sambaíba;0.8;;1.2;;1.9;1.789;;3.047
MA;2109759;Santa Filomena do Maranhão;;;;;;0.877;;2.098
MA;2109809;Santa Helena;0.8;;0.9;;1.7;1.72;;2.769
MA;2109908;Santa Inês;1;;1.9;;3;3.074;;4.136
MA;2110005;Santa Luzia;0.4;;0.8;;1.3;1.408;;1.909
MA;2110039;Santa Luzia do Paruá;;;;;1.5;1.561;;2.592
MA;2110104;Santa Quitéria do Maranhão;0.4;;0.8;;1.7;1.692;;2.619
MA;2110203;Santa Rita;0.7;;1.3;;1.9;1.715;;3.248
MA;2110237;Santana do Maranhão;;;;;;0.585;;1.283
MA;2110278;Santo Amaro do Maranhão;;;;;;1.528;;2.321
MA;2110302;Santo Antônio dos Lopes;0.5;;1;;1.5;1.495;;2.441
MA;2110401;São Benedito do Rio Preto;0.6;;1;;1.8;1.789;;2.71
MA;2110500;São Bento;1.1;;1.5;;2.6;2.58;;3.478
MA;2110609;São Bernardo;0.4;;0.7;;1.4;1.561;;2.619
MA;2110658;São Domingos do Azeitão;;;;;;1.902;;3.08
MA;2110708;São Domingos do Maranhão;0.7;;0.8;;1.6;1.763;;2.551
MA;2110807;São Félix de Balsas;0.6;;0.8;;2.3;2.3;;2.602
MA;2110856;São Francisco do Brejão;;;;;;1.461;;2.669
MA;2110906;São Francisco do Maranhão;0.5;;1;;1.4;1.419;;2.147
MA;2111003;São João Batista;0.9;;1.2;;1.8;1.847;;3.255
MA;2111029;São João do Carú;;;;;;0.608;;1.383
MA;2111052;São João do Paraíso;;;;;;1.615;;3.07
MA;2111078;São João do Soter;;;;;;0.828;;1.783
MA;2111102;São João dos Patos;0.9;;1.7;;2.5;2.723;;3.72
MA;2111201;São José de Ribamar;1.7;;2.7;;4.4;4.434;;6.156
MA;2111250;São José dos Basílios;;;;;;1.073;;2.34
MA;2111300;São Luís;3.7;;5.3;;6.8;6.796;;7.719
MA;2111409;São Luís Gonzaga do Maranhão;0.5;;0.7;;1.3;1.291;;2.123
MA;2111508;São Mateus do Maranhão;0.6;;1;;1.8;1.844;;2.675
MA;2111532;São Pedro da Água Branca;;;;;;1.462;;2.49
MA;2111573;São Pedro dos Crentes;;;;;;1.816;;2.816
MA;2111607;São Raimundo das Mangabeiras;0.7;;1.3;;2.2;2.233;;3.35
MA;2111631;São Raimundo do Doca Bezerra;;;;;;0.932;;1.73
MA;2111672;São Roberto;;;;;;0.968;;1.663
MA;2111706;São Vicente Ferrer;0.6;;0.5;;1.7;1.78;;3.144
MA;2111722;Satubinha;;;;;;0.993;;1.861
MA;2111748;Senador Alexandre Costa;;;;;;0.882;;2.049
MA;2111763;Senador La Rocque;;;;;;1.162;;2.283
MA;2111789;Serrano do Maranhão;;;;;;1.498;;2.19
MA;2111805;Sítio Novo;0.8;;1.2;;2;2.034;;2.916
MA;2111904;Sucupira do Norte;0.7;;1.2;;2;2.081;;2.897
MA;2111953;Sucupira do Riachão;;;;;;1.501;;2.481
MA;2112001;Tasso Fragoso;0.5;;1.1;;1.9;1.897;;3.276
MA;2112100;Timbiras;0.4;;0.7;;1.1;1.124;;1.919
MA;2112209;Timon;1;;2;;3.2;3.182;;4.26
MA;2112233;Trizidela do Vale;;;;;;2.024;;2.954
MA;2112274;Tufilândia;;;;;;1.006;;1.918
MA;2112308;Tuntum;0.6;;0.8;;1.4;1.546;;2.466
MA;2112407;Turiaçu;0.6;;0.8;;1.2;1.367;;2.2
MA;2112456;Turilândia;;;;;;0.928;;1.846
MA;2112506;Tutóia;0.5;;0.8;;1.4;1.665;;2.378
MA;2112605;Urbano Santos;0.5;;0.9;;1.7;1.945;;2.868
MA;2112704;Vargem Grande;0.5;;0.9;;1.6;1.611;;2.054
MA;2112803;Viana;1.1;;1.6;;2.6;2.734;;3.792
MA;2112852;Vila Nova dos Martírios;;;;;;1.363;;2.276
MA;2112902;Vitória do Mearim;0.7;;0.9;;1.5;2.08;;3.194
MA;2113009;Vitorino Freire;0.5;;1;;1.8;1.867;;2.756
MA;2114007;Zé Doca;;;;;1.9;2.35;;2.89
MG;3100104;Abadia dos Dourados;1.3;;2.5;;3.6;3.589;;4.359
MG;3100203;Abaeté;2.2;;2.9;;4;3.993;;4.779
MG;3100302;Abre Campo;1.5;;2;;3;3.282;;3.99
MG;3100401;Acaiaca;1.4;;1.8;;2.7;2.779;;3.674
MG;3100500;Açucena;1;;1.4;;2.3;1.988;;2.968
MG;3100609;Água Boa;0.7;;1;;1.7;1.726;;2.611
MG;3100708;Água Comprida;1.5;;2.6;;3.1;3.457;;4.918
MG;3100807;Aguanil;1.4;;2.2;;3.1;3.115;;4.168
MG;3100906;Águas Formosas;0.7;;1.1;;2;2.224;;3.323
MG;3101003;Águas Vermelhas;0.4;;0.8;;1.7;1.632;;2.537
MG;3101102;Aimorés;1.4;;2.5;;3.4;3.353;;4.585
MG;3101201;Aiuruoca;2.1;;2.4;;3.1;3.195;;4.245
MG;3101300;Alagoa;1.7;;1.8;;3.2;3.035;;3.739
MG;3101409;Albertina;0.5;;1.2;;3.1;2.901;;3.823
MG;3101508;Além Paraíba;3;;3.8;;5.3;5.291;;6.115
MG;3101607;Alfenas;2.9;;4.2;;5.4;5.441;;6.126
MG;3101631;Alfredo Vasconcelos;;;;;;3.299;;4.266
MG;3101706;Almenara;0.8;;1.4;;2.4;2.724;;3.618
MG;3101805;Alpercata;1;;1.4;;2.6;2.641;;3.599
MG;3101904;Alpinópolis;2.2;;3.4;;4.3;3.936;;4.791
MG;3102001;Alterosa;2.1;;2.4;;2.9;3.006;;4.176
MG;3102050;Alto Caparaó;;;;;;3.311;;3.923
MG;3102100;Alto Rio Doce;1.5;;1.8;;2.7;2.743;;3.453
MG;3102209;Alvarenga;0.8;;1.3;;2.4;2.369;;3.061
MG;3102308;Alvinópolis;2.2;;2.8;;3.9;3.888;;4.617
MG;3102407;Alvorada de Minas;1.6;;1.8;;2.4;2.234;;3.025
MG;3102506;Amparo do Serra;1.5;;1.7;;2.9;2.793;;3.177
MG;3102605;Andradas;1.8;;2.8;;4.1;4.093;;4.72
MG;3102704;Cachoeira de Pajeú;0.5;;1.1;;1.6;1.674;;2.479
MG;3102803;Andrelândia;1.7;;2.9;;3.9;3.869;;4.845
MG;3102852;Angelândia;;;;;;1.721;;2.468
MG;3102902;Antônio Carlos;1.7;;2.3;;3.4;3.39;;4.652
MG;3103009;Antônio Dias;1.4;;1.8;;2.5;2.543;;3.426
MG;3103108;Antônio Prado de Minas;1.3;;2.5;;3.7;3.677;;4.582
MG;3103207;Araçaí;2;;3;;4.4;4.207;;5.113
MG;3103306;Aracitaba;1.4;;1.8;;2.8;2.804;;3.625
MG;3103405;Araçuaí;1.1;;1.8;;2.7;2.732;;3.888
MG;3103504;Araguari;3;;4;;5.2;5.221;;6.21
MG;3103603;Arantina;1.4;;2.4;;3.8;3.53;;4.411
MG;3103702;Araponga;0.8;;1.2;;2.1;2.009;;2.767
MG;3103751;Araporã;;;;;;4.058;;5.011
MG;3103801;Arapuá;1.4;;2.5;;3.3;3.597;;4.901
MG;3103900;Araújos;1.7;;2.9;;3.9;3.947;;4.928
MG;3104007;Araxá;3.1;;4;;5.5;5.466;;6.533
MG;3104106;Arceburgo;1.8;;2.2;;3.7;3.723;;4.657
MG;3104205;Arcos;2.1;;3.3;;4.6;4.601;;5.871
MG;3104304;Areado;2.3;;2.9;;4.2;4.227;;5.087
MG;3104403;Argirita;1.6;;2.6;;3.5;3.493;;4.318
MG;3104452;Aricanduva;;;;;;1.404;;2.429
MG;3104502;Arinos;0.7;;1.5;;2.5;2.517;;3.495
MG;3104601;Astolfo Dutra;2.2;;3.2;;4.5;4.413;;5.512
MG;3104700;Ataléia;0.5;;1;;1.9;1.918;;2.97
MG;3104809;Augusto de Lima;1.2;;1.9;;2.6;2.749;;4.047
MG;3104908;Baependi;2;;2.6;;3.7;3.712;;4.362
MG;3105004;Baldim;1.7;;2.1;;3.6;3.559;;4.414
MG;3105103;Bambuí;2;;3.2;;4.3;4.345;;5.148
MG;3105202;Bandeira;0.5;;0.5;;1.6;1.568;;2.457
MG;3105301;Bandeira do Sul;1.6;;2.2;;3.1;3.249;;4.303
MG;3105400;Barão de Cocais;1.9;;3.3;;4.6;4.623;;5.419
MG;3105509;Barão de Monte Alto;1.3;;2.4;;3.3;3.237;;3.896
MG;3105608;Barbacena;3;;4.2;;5.5;5.512;;6.399
MG;3105707;Barra Longa;2.1;;2.5;;3.2;3.109;;3.759
MG;3105905;Barroso;2.7;;3.5;;4.5;4.552;;5.638
MG;3106002;Bela Vista de Minas;1.9;;2.6;;3.9;3.932;;4.956
MG;3106101;Belmiro Braga;1.5;;2.4;;3.4;3.352;;4.458
MG;3106200;Belo Horizonte;4.6;;5.8;;7.2;7.193;;8.134
MG;3106309;Belo Oriente;1;;1.6;;3;2.976;;4.152
MG;3106408;Belo Vale;1.6;;2.8;;3.4;3.314;;4.311
MG;3106507;Berilo;0.4;;0.9;;1.8;2;;2.978
MG;3106606;Bertópolis;0.3;;0.7;;1.6;1.738;;2.759
MG;3106655;Berizal;;;;;;1.474;;2.279
MG;3106705;Betim;2.1;;3.1;;4.4;4.359;;5.575
MG;3106804;Bias Fortes;2.2;;2.5;;3.4;3.257;;3.782
MG;3106903;Bicas;3.4;;4;;5.3;5.3;;6.415
MG;3107000;Biquinhas;1.6;;1.8;;3.3;3.286;;4.044
MG;3107109;Boa Esperança;2.2;;3.2;;4.4;4.366;;5.201
MG;3107208;Bocaina de Minas;1.2;;1.6;;2.9;3.008;;3.654
MG;3107307;Bocaiúva;1.2;;1.9;;3.1;3.346;;4.42
MG;3107406;Bom Despacho;2.4;;3.4;;4.8;4.842;;5.805
MG;3107505;Bom Jardim de Minas;2.1;;3.4;;4;3.938;;4.729
MG;3107604;Bom Jesus da Penha;1.2;;2.3;;3;3.289;;4.28
MG;3107703;Bom Jesus do Amparo;1.9;;2.3;;3.4;3.353;;3.957
MG;3107802;Bom Jesus do Galho;1.1;;1.7;;2.7;2.67;;3.467
MG;3107901;Bom Repouso;1.3;;2.1;;2.8;2.855;;3.727
MG;3108008;Bom Sucesso;1.6;;3;;3.6;3.615;;4.874
MG;3108107;Bonfim;1.5;;2.3;;3;2.98;;3.877
MG;3108206;Bonfinópolis de Minas;0.7;;1.7;;2.9;3.067;;4.071
MG;3108255;Bonito de Minas;;;;;;1.368;;1.781
MG;3108305;Borda da Mata;2;;3.1;;3.9;4.234;;5.024
MG;3108404;Botelhos;1.9;;2.5;;3.5;3.545;;4.493
MG;3108503;Botumirim;0.8;;1.3;;2.5;2.384;;3.427
MG;3108552;Brasilândia de Minas;;;;;;2.915;;4.265
MG;3108602;Brasília de Minas;0.7;;1.4;;2.3;2.692;;3.745
MG;3108701;Brás Pires;1.2;;1.9;;2.9;2.852;;3.735
MG;3108800;Braúnas;1.4;;1.6;;2.3;2.449;;3.102
MG;3108909;Brasópolis;1.9;;2.8;;4.1;4.065;;4.963
MG;3109006;Brumadinho;2;;3.1;;4.3;4.288;;5.64
MG;3109105;Bueno Brandão;1.4;;2.4;;3.3;3.292;;4.177
MG;3109204;Buenópolis;1.1;;1.8;;2.7;2.762;;3.937
MG;3109253;Bugre;;;;;;2.023;;2.811
MG;3109303;Buritis;0.9;;1.6;;3.1;3.094;;4.148
MG;3109402;Buritizeiro;1;;1.3;;2.7;2.732;;3.61
MG;3109451;Cabeceira Grande;;;;;;2.575;;3.698
MG;3109501;Cabo Verde;1.7;;2.8;;3.4;3.407;;4.464
MG;3109600;Cachoeira da Prata;2.7;;3.8;;4.4;4.517;;5.797
MG;3109709;Cachoeira de Minas;1.9;;2.8;;4.2;4.108;;5.114
MG;3109808;Cachoeira Dourada;1.3;;2.2;;3.3;3.014;;4.052
MG;3109907;Caetanópolis;2.7;;3.5;;4.5;4.542;;5.423
MG;3110004;Caeté;2.4;;3.4;;4.9;4.857;;5.851
MG;3110103;Caiana;0.9;;2.2;;3;3.019;;3.771
MG;3110202;Cajuri;1.6;;2.9;;3.5;3.151;;4.183
MG;3110301;Caldas;1.6;;2.6;;3.7;3.731;;4.515
